timestamp Ny_Alesund
"2020-11-23 00:00:00" 7015.6
"2020-11-23 00:00:10" 7015.1
"2020-11-23 00:00:20" 7014.8
"2020-11-23 00:00:30" 7014.6
"2020-11-23 00:00:40" 7014.1
"2020-11-23 00:00:50" 7013.9
"2020-11-23 00:01:00" 7013.4
"2020-11-23 00:01:10" 7012.9
"2020-11-23 00:01:20" 7012.1
"2020-11-23 00:01:30" 7011.7
"2020-11-23 00:01:40" 7011.9
"2020-11-23 00:01:50" 7011.7
"2020-11-23 00:02:00" 7011.7
"2020-11-23 00:02:10" 7011.2
"2020-11-23 00:02:20" 7010.9
"2020-11-23 00:02:30" 7010.7
"2020-11-23 00:02:40" 7009.9
"2020-11-23 00:02:50" 7009.9
"2020-11-23 00:03:00" 7009.7
"2020-11-23 00:03:10" 7009.5
"2020-11-23 00:03:20" 7009.2
"2020-11-23 00:03:30" 7008.7
"2020-11-23 00:03:40" 7008.5
"2020-11-23 00:03:50" 7008.2
"2020-11-23 00:04:00" 7008.0
"2020-11-23 00:04:10" 7007.7
"2020-11-23 00:04:20" 7007.2
"2020-11-23 00:04:30" 7007.7
"2020-11-23 00:04:40" 7008.0
"2020-11-23 00:04:50" 7008.2
"2020-11-23 00:05:00" 7008.2
"2020-11-23 00:05:10" 7008.4
"2020-11-23 00:05:20" 7008.9
"2020-11-23 00:05:30" 7009.4
"2020-11-23 00:05:40" 7009.4
"2020-11-23 00:05:50" 7009.9
"2020-11-23 00:06:00" 7009.9
"2020-11-23 00:06:10" 7010.4
"2020-11-23 00:06:20" 7010.6
"2020-11-23 00:06:30" 7010.6
"2020-11-23 00:06:40" 7010.1
"2020-11-23 00:06:50" 7010.4
"2020-11-23 00:07:00" 7010.1
"2020-11-23 00:07:10" 7009.9
"2020-11-23 00:07:20" 7009.9
"2020-11-23 00:07:30" 7009.4
"2020-11-23 00:07:40" 7008.7
"2020-11-23 00:07:50" 7007.7
"2020-11-23 00:08:00" 7007.2
"2020-11-23 00:08:10" 7006.7
"2020-11-23 00:08:20" 7006.5
"2020-11-23 00:08:30" 7006.5
"2020-11-23 00:08:40" 7006.5
"2020-11-23 00:08:50" 7006.7
"2020-11-23 00:09:00" 7007.2
"2020-11-23 00:09:10" 7008.0
"2020-11-23 00:09:20" 7008.7
"2020-11-23 00:09:30" 7009.0
"2020-11-23 00:09:40" 7009.2
"2020-11-23 00:09:50" 7009.2
"2020-11-23 00:10:00" 7009.0
"2020-11-23 00:10:10" 7009.0
"2020-11-23 00:10:20" 7009.0
"2020-11-23 00:10:30" 7008.7
"2020-11-23 00:10:40" 7008.2
"2020-11-23 00:10:50" 7008.0
