timestamp Tromso
"2020-11-23 00:00:00" 10822.8
"2020-11-23 00:00:10" 10822.8
"2020-11-23 00:00:20" 10822.2
"2020-11-23 00:00:30" 10821.7
"2020-11-23 00:00:40" 10822.1
"2020-11-23 00:00:50" 10821.8
"2020-11-23 00:01:00" 10821.3
"2020-11-23 00:01:10" 10821.4
"2020-11-23 00:01:20" 10821.8
"2020-11-23 00:01:30" 10822.7
"2020-11-23 00:01:40" 10822.2
"2020-11-23 00:01:50" 10821.3
"2020-11-23 00:02:00" 10819.9
"2020-11-23 00:02:10" 10819.6
"2020-11-23 00:02:20" 10820.0
"2020-11-23 00:02:30" 10819.8
"2020-11-23 00:02:40" 10820.4
"2020-11-23 00:02:50" 10820.4
"2020-11-23 00:03:00" 10820.6
"2020-11-23 00:03:10" 10820.0
"2020-11-23 00:03:20" 10820.3
"2020-11-23 00:03:30" 10821.4
"2020-11-23 00:03:40" 10822.9
"2020-11-23 00:03:50" 10823.2
"2020-11-23 00:04:00" 10822.7
"2020-11-23 00:04:10" 10823.2
"2020-11-23 00:04:20" 10824.1
"2020-11-23 00:04:30" 10824.0
"2020-11-23 00:04:40" 10823.2
"2020-11-23 00:04:50" 10822.5
"2020-11-23 00:05:00" 10822.6
"2020-11-23 00:05:10" 10823.3
"2020-11-23 00:05:20" 10823.8
"2020-11-23 00:05:30" 10823.8
"2020-11-23 00:05:40" 10823.9
"2020-11-23 00:05:50" 10823.4
"2020-11-23 00:06:00" 10823.0
"2020-11-23 00:06:10" 10822.1
"2020-11-23 00:06:20" 10821.0
"2020-11-23 00:06:30" 10820.5
"2020-11-23 00:06:40" 10820.7
"2020-11-23 00:06:50" 10822.2
"2020-11-23 00:07:00" 10823.2
"2020-11-23 00:07:10" 10824.1
"2020-11-23 00:07:20" 10823.9
"2020-11-23 00:07:30" 10822.5
"2020-11-23 00:07:40" 10821.5
"2020-11-23 00:07:50" 10822.5
"2020-11-23 00:08:00" 10824.3
"2020-11-23 00:08:10" 10826.1
"2020-11-23 00:08:20" 10828.5
"2020-11-23 00:08:30" 10830.7
"2020-11-23 00:08:40" 10831.7
"2020-11-23 00:08:50" 10832.5
"2020-11-23 00:09:00" 10834.6
"2020-11-23 00:09:10" 10837.0
"2020-11-23 00:09:20" 10838.5
"2020-11-23 00:09:30" 10840.6
"2020-11-23 00:09:40" 10843.1
"2020-11-23 00:09:50" 10844.6
"2020-11-23 00:10:00" 10845.7
"2020-11-23 00:10:10" 10846.5
"2020-11-23 00:10:20" 10847.4
"2020-11-23 00:10:30" 10848.0
"2020-11-23 00:10:40" 10849.2
"2020-11-23 00:10:50" 10849.7
"2020-11-23 00:11:00" 10850.6
"2020-11-23 00:11:10" 10851.7
"2020-11-23 00:11:20" 10852.1
"2020-11-23 00:11:30" 10852.7
"2020-11-23 00:11:40" 10853.6
"2020-11-23 00:11:50" 10854.4
"2020-11-23 00:12:00" 10854.2
"2020-11-23 00:12:10" 10853.9
"2020-11-23 00:12:20" 10853.6
"2020-11-23 00:12:30" 10853.4
"2020-11-23 00:12:40" 10853.4
"2020-11-23 00:12:50" 10853.7
"2020-11-23 00:13:00" 10855.4
"2020-11-23 00:13:10" 10857.4
"2020-11-23 00:13:20" 10858.3
"2020-11-23 00:13:30" 10857.6
"2020-11-23 00:13:40" 10857.4
"2020-11-23 00:13:50" 10856.9
"2020-11-23 00:14:00" 10857.3
"2020-11-23 00:14:10" 10857.6
"2020-11-23 00:14:20" 10857.8
"2020-11-23 00:14:30" 10857.8
"2020-11-23 00:14:40" 10857.0
"2020-11-23 00:14:50" 10855.4
"2020-11-23 00:15:00" 10854.6
"2020-11-23 00:15:10" 10853.8
"2020-11-23 00:15:20" 10853.4
"2020-11-23 00:15:30" 10852.4
"2020-11-23 00:15:40" 10851.6
"2020-11-23 00:15:50" 10850.7
"2020-11-23 00:16:00" 10849.8
"2020-11-23 00:16:10" 10847.9
"2020-11-23 00:16:20" 10845.9
"2020-11-23 00:16:30" 10844.8
"2020-11-23 00:16:40" 10844.7
"2020-11-23 00:16:50" 10845.8
"2020-11-23 00:17:00" 10846.3
"2020-11-23 00:17:10" 10847.3
"2020-11-23 00:17:20" 10847.6
"2020-11-23 00:17:30" 10847.2
"2020-11-23 00:17:40" 10847.0
"2020-11-23 00:17:50" 10847.6
"2020-11-23 00:18:00" 10847.3
"2020-11-23 00:18:10" 10846.6
"2020-11-23 00:18:20" 10847.3
"2020-11-23 00:18:30" 10848.1
"2020-11-23 00:18:40" 10848.3
"2020-11-23 00:18:50" 10848.3
"2020-11-23 00:19:00" 10848.2
"2020-11-23 00:19:10" 10848.0
"2020-11-23 00:19:20" 10848.0
"2020-11-23 00:19:30" 10847.4
"2020-11-23 00:19:40" 10846.0
"2020-11-23 00:19:50" 10844.9
"2020-11-23 00:20:00" 10845.0
"2020-11-23 00:20:10" 10845.1
"2020-11-23 00:20:20" 10844.7
"2020-11-23 00:20:30" 10843.3
"2020-11-23 00:20:40" 10842.3
"2020-11-23 00:20:50" 10841.7
